0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.2107,1.0762,104.17,0.7412,0.7043,1.2817,1.3359,6.5195,7.8139,18438.0,557.63,3177.29,236.57,124.38,1811.33,77.2,90.957,0.252,1.012,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.712,1874.25,45.54,2.462,13333.2,16860.0,3711.12,26527.5,21.43,6719.5,26405.0,3.534,6571.7,5573.5,22127.5,8206.5,102.82,12658.75,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.9,0.19,-24.75,0.0,0.0,0.0,1607468767.5324316
1.2108,1.0763,104.17,0.7413,0.7044,1.2816,1.3368,6.5195,7.8145,18338.0,551.77,3177.29,236.57,124.38,1811.33,77.22,90.957,0.252,1.012,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.718,1874.4,45.49,2.459,13323.6,16860.0,3707.62,26520.0,21.48,6713.5,26405.0,3.534,6559.2,5573.5,22127.5,8206.5,102.82,12656.88,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.9,0.19,-24.75,0.0,0.0,0.0,1607469017.2419512
1.211,1.0761,104.17,0.7413,0.7045,1.2813,1.3366,6.5195,7.814,18326.0,552.23,3177.29,236.57,124.38,1811.33,77.21,90.957,0.252,1.014,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.715,1874.15,45.48,2.458,13324.4,16860.0,3709.12,26522.5,21.42,6723.5,26405.0,3.534,6561.9,5573.5,22127.5,8206.5,102.82,12659.62,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.95,0.15,-24.75,0.0,0.0,0.0,1607469275.457196
1.2109,1.0764,104.17,0.7412,0.7043,1.2813,1.3365,6.5195,7.8151,18307.0,552.42,3177.29,236.57,124.38,1811.33,77.21,90.957,0.252,1.014,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.72,1874.35,45.45,2.455,13327.1,16860.0,3709.62,26517.5,21.42,6724.5,26405.0,3.534,6563.2,5573.5,22127.5,8206.5,102.82,12659.75,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.25,0.95,0.15,-24.75,0.0,0.0,0.0,1607469539.0310233
1.2108,1.0763,104.17,0.7413,0.7042,1.2815,1.3365,6.5195,7.8141,18350.0,554.16,3177.29,236.57,124.38,1811.33,77.22,90.957,0.252,1.013,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.738,1875.05,45.52,2.455,13326.2,16860.0,3709.38,26517.5,21.42,6724.5,26405.0,3.534,6562.3,5573.5,22127.5,8206.5,102.82,12656.88,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.99,0.15,-24.75,0.0,0.0,0.0,1607469783.4456859
1.2109,1.0762,104.16,0.7414,0.7042,1.2815,1.337,6.5195,7.8139,18392.2,554.65,3177.29,236.57,124.38,1811.33,77.22,90.957,0.252,1.013,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.725,1874.05,45.53,2.45,13322.6,16860.0,3708.38,26507.5,21.42,6724.5,26405.0,3.534,6560.5,5573.5,22127.5,8206.5,102.82,12655.12,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.21,0.99,0.15,-24.75,0.0,0.0,0.0,1607470030.0938773
1.2108,1.0761,104.16,0.7414,0.7041,1.2813,1.3375,6.5195,7.8139,18394.0,554.85,3177.29,236.57,124.38,1811.33,77.22,90.957,0.252,1.013,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.718,1874.4,45.54,2.453,13321.0,16860.0,3708.62,26507.5,21.42,6722.5,26405.0,3.534,6561.0,5573.5,22127.5,8206.5,102.82,12655.5,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.19,0.98,0.15,-24.75,0.0,0.0,0.0,1607470278.2175367
1.2109,1.0762,104.16,0.7414,0.7041,1.2816,1.3372,6.5195,7.817,18355.0,554.83,3177.29,236.57,124.38,1811.33,77.22,90.957,0.257,1.013,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.712,1874.05,45.53,2.453,13320.4,16860.0,3708.88,26505.0,21.42,6727.5,26405.0,3.534,6560.5,5573.5,22127.5,8206.5,102.82,12652.88,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.19,0.98,0.15,-24.75,0.0,0.0,0.0,1607470516.6926665
1.2107,1.0762,104.16,0.741,0.7038,1.2815,1.3367,6.5195,7.8144,18390.0,555.24,3177.29,236.57,124.38,1811.33,77.15,90.957,0.257,1.015,0.911,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.698,1873.75,45.48,2.454,13313.2,16860.0,3706.62,26482.5,21.48,6726.0,26405.0,3.534,6558.3,5573.5,22127.5,8206.5,102.82,12647.75,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.97,0.15,-24.75,0.0,0.0,0.0,1607470762.9606466
1.2107,1.0761,104.15,0.7408,0.7037,1.2815,1.3366,6.5195,7.8144,18362.0,554.65,3177.29,236.57,124.38,1811.33,77.15,90.957,0.257,1.015,0.913,0.552,0.028,0.013,0.74,1.667,0.921,0.394,0.151,0.094,0.084,-0.189,-0.606,-0.793,-0.771,-0.752,-0.771,24.703,1874.05,45.48,2.454,13313.7,16860.0,3707.12,26477.5,21.48,6725.0,26405.0,3.534,6558.7,5573.5,22127.5,8206.5,102.82,12649.88,86.75,136.955,44.75,34.37,175.455,112.47,7.63,28.775,7.985,60.9,5.35,2.18,0.97,0.15,-24.75,0.0,0.0,0.0,1607471008.5230095
